ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
418990,422470000000,,,-1168859867133863936,0.0,1.5005123138427734E7,-0.9765624737812494,316.8858904382445,1,2,0.0,15,386689533998897,27,24.3,-41.1414909362793,0.6859999895095825,0,0.0,0.0,,,,,0,,1
418993,422470000000,,,-1168859867133863936,0.0,1.5005123138427734E7,-0.9765624737812494,316.8858904382445,1,5,0.0,15,386689529262469,46,20.4,-590.2909545898438,0.9299999475479126,0,0.0,0.0,,,,,0,,1
418996,422470000000,,,-1168859867133863936,0.0,1.5005123138427734E7,-0.9765624737812494,316.8858904382445,1,6,0.0,15,386689533327705,17,28.0,494.7318420410156,0.052799999713897705,0,0.0,0.0,,,,,0,,1
418997,422470000000,,,-1168859867133863936,0.0,1.5005123138427734E7,-0.9765624737812494,316.8858904382445,1,16,0.0,15,386689525260451,35,22.2,-85.95565032958984,0.793999969959259,0,0.0,0.0,,,,,0,,1
418998,422470000000,,,-1168859867133863936,0.0,1.5005123138427734E7,-0.9765624737812494,316.8858904382445,1,30,0.0,15,386689528883519,14,30.7,-667.9309692382812,0.037800002843141556,0,0.0,0.0,,,,,0,,1
420020,423470000000,,,-1168859867133863424,0.0,1.5004484176635742E7,-6.835937217058899,316.8858904382445,1,2,0.0,15,386690533998991,31,23.6,-41.17955017089844,0.6859999895095825,0,0.0,0.0,,,,,0,,1
420021,423470000000,,,-1168859867133863424,0.0,1.5004484176635742E7,-6.835937217058899,316.8858904382445,1,5,0.0,15,386690529264205,53,19.2,-590.1006469726562,1.0099999904632568,0,0.0,0.0,,,,,0,,1
420022,423470000000,,,-1168859867133863424,0.0,1.5004484176635742E7,-6.835937217058899,316.8858904382445,1,6,0.0,15,386690533326068,17,28.6,494.2300109863281,0.052799999713897705,0,0.0,0.0,,,,,0,,1
420022,423470000000,,,-1168859867133863424,0.0,1.5004484176635742E7,-6.835937217058899,316.8858904382445,1,16,0.0,15,386690525260773,40,21.7,-86.6216812133789,0.793999969959259,0,0.0,0.0,,,,,0,,1
420023,423470000000,,,-1168859867133863424,0.0,1.5004484176635742E7,-6.835937217058899,316.8858904382445,1,30,0.0,15,386690528885721,14,30.6,-668.418701171875,0.037800002843141556,0,0.0,0.0,,,,,0,,1
420985,424470000000,,,-1168859867133863424,0.0,1.500479793548584E7,-5.8593746438678025,316.8858904382445,1,2,0.0,15,386691533999173,27,24.1,-41.236637115478516,0.6859999895095825,0,0.0,0.0,,,,,0,,1
420987,424470000000,,,-1168859867133863424,0.0,1.500479793548584E7,-5.8593746438678025,316.8858904382445,1,5,0.0,15,386691529266174,61,19.2,-590.1006469726562,2.510000228881836,0,0.0,0.0,,,,,0,,1
